mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.781223440170287,0.5373557952152063,3.4680052280426024,0.0008025875304164308,0.001,0.001,"{'C': 0.001, 'gamma': 0.001}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
18.082898378372192,0.07769875503762186,3.4711938858032227,0.004236848928852288,0.001,0.01,"{'C': 0.001, 'gamma': 0.01}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
17.848573160171508,0.03478982649462943,3.4983630180358887,0.008572528217309508,0.001,0.1,"{'C': 0.001, 'gamma': 0.1}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
16.30245671272278,0.012120202018882262,3.519418954849243,0.028114813768082086,0.001,1.0,"{'C': 0.001, 'gamma': 1.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
18.219480800628663,0.5690102123452786,3.8177842140197753,0.008717125321212979,0.001,10.0,"{'C': 0.001, 'gamma': 10.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
29.53205280303955,0.18155421020631773,4.195597887039185,0.0058600890247954085,0.001,100.0,"{'C': 0.001, 'gamma': 100.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
18.587489986419676,0.31017882177062783,3.474931240081787,0.004363157638645432,0.01,0.001,"{'C': 0.01, 'gamma': 0.001}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
20.415606784820557,0.13737238236615748,3.517167329788208,0.0034286399894430148,0.01,0.01,"{'C': 0.01, 'gamma': 0.01}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
22.38140139579773,0.10884244170637183,3.8792860984802244,0.02770554365534269,0.01,0.1,"{'C': 0.01, 'gamma': 0.1}",0.7847916666666667,0.7833333333333333,0.78375,0.7820833333333334,0.7827083333333333,0.7833333333333333,0.0009223309842157659,12
47.04654340744018,0.3360252176164399,6.0102029800415036,0.011044357852199259,0.01,1.0,"{'C': 0.01, 'gamma': 1.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
62.20629997253418,0.3135021974130152,7.602878141403198,0.01277582964001304,0.01,10.0,"{'C': 0.01, 'gamma': 10.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
66.61714134216308,0.7199202039946236,7.123321485519409,0.0013558449285206197,0.01,100.0,"{'C': 0.01, 'gamma': 100.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
20.44517250061035,0.4695458682480752,3.5162943840026855,0.005014377613679392,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
20.98388252258301,0.08816644540719953,3.478786277770996,0.014487140779242562,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.8179166666666666,0.8177083333333334,0.8154166666666667,0.8166666666666667,0.813125,0.8161666666666667,0.0017608788840929542,9
27.049003458023073,0.41341677142035443,3.9457116603851317,0.01639794585599889,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.8170833333333334,0.8185416666666666,0.8145833333333333,0.819375,0.81625,0.8171666666666667,0.0016904552312583798,7
77.80659241676331,3.629024573136218,6.281957530975342,0.013520276163502515,0.1,1.0,"{'C': 0.1, 'gamma': 1.0}",0.7789583333333333,0.7783333333333333,0.7783333333333333,0.77875,0.77875,0.778625,0.0002500000000000095,27
93.57072920799256,0.20634331675001696,7.709313821792603,0.006107307542154406,0.1,10.0,"{'C': 0.1, 'gamma': 10.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
89.47991576194764,0.6108346876340518,7.129383897781372,0.004865071991972221,0.1,100.0,"{'C': 0.1, 'gamma': 100.0}",0.7789583333333333,0.77875,0.77875,0.77875,0.77875,0.7787916666666667,8.333333333330194e-05,13
20.707518100738525,0.1450220266397151,3.4549950122833253,0.009738965472609747,1.0,0.001,"{'C': 1.0, 'gamma': 0.001}",0.8179166666666666,0.8191666666666667,0.816875,0.8172916666666666,0.8141666666666667,0.8170833333333334,0.0016509677296799043,8
23.516492891311646,0.23238401193283673,3.345914697647095,0.012358464513081454,1.0,0.01,"{'C': 1.0, 'gamma': 0.01}",0.8195833333333333,0.821875,0.8172916666666666,0.8191666666666667,0.8158333333333333,0.81875,0.0020623947784607854,6
46.560322999954224,2.8958159805958594,3.9224939346313477,0.019447356623801985,1.0,0.1,"{'C': 1.0, 'gamma': 0.1}",0.818125,0.8222916666666666,0.8179166666666666,0.8233333333333334,0.82,0.8203333333333334,0.0021754629137011178,1
87.63492188453674,3.9447828047213083,6.2594681739807125,0.009428584763504163,1.0,1.0,"{'C': 1.0, 'gamma': 1.0}",0.7916666666666666,0.7922916666666666,0.790625,0.7904166666666667,0.793125,0.791625,0.001015504800579477,11
